City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,noumea,-22.2763,166.4572,21.11,99,32,3.25,NC,1686144962
317,cacoal,-11.4386,-61.4472,28.11,59,30,0.32,BR,1686145336
318,kalka,30.8344,76.9333,24.52,52,49,4.09,IN,1686145380
319,itaituba,-4.2761,-55.9836,28.09,83,75,5.14,BR,1686145380
320,happy valley-goose bay,53.3168,-60.3315,5.17,93,100,10.8,CA,1686145380
321,caleta de carquin,-11.0925,-77.6267,22.43,79,78,2.79,PE,1686145381
322,al lagowa,11.4,29.1333,31.39,40,100,1.36,SD,1686145381
323,puerto aysen,-45.4,-72.7,6.02,100,75,0.0,CL,1686145381
324,kayangel,8.0823,134.7173,28.79,76,100,6.07,PW,1686145381
325,al kharijah,25.4514,30.5464,44.99,7,5,2.58,EG,1686145382
326,machico,32.7,-16.7667,23.35,84,40,10.8,PT,1686145382
327,paka,4.6374,103.4368,24.96,94,100,0.0,MY,1686145382
328,great falls,47.5002,-111.3008,15.23,91,0,2.57,US,1686145374
329,hailun,47.45,126.9333,13.6,84,28,3.82,CN,1686145383
330,mount isa,-20.7333,139.5,16.87,67,94,1.03,AU,1686145383
331,saint-marcellin,45.15,5.3167,27.9,52,9,1.8,FR,1686145383
332,alegrete,-29.7831,-55.7919,22.27,63,40,4.56,BR,1686145383
333,birao,10.2849,22.7882,31.63,47,100,0.71,CF,1686145384
334,ulladulla,-35.35,150.4667,14.02,83,89,4.09,AU,1686145384
335,villajoyosa,38.5075,-0.2335,21.19,90,100,2.19,ES,1686145384
336,telerghma,36.1165,6.3543,28.67,37,94,6.46,DZ,1686145384
337,lorengau,-2.0226,147.2712,27.54,80,100,3.11,PG,1686145384
338,nyrob,60.733,56.7202,14.38,49,94,3.11,RU,1686145385
339,saipan,15.1355,145.701,27.58,100,75,8.23,MP,1686145385
340,obidos,-1.9175,-55.5181,30.35,59,15,2.76,BR,1686145385
341,saint-philippe,-21.3585,55.7679,24.77,83,41,4.55,RE,1686145385
342,novodvinsk,64.4165,40.8122,9.76,41,93,3.55,RU,1686145385
343,mount gambier,-37.8333,140.7667,12.08,91,51,3.94,AU,1686145386
344,tabou,4.423,-7.3528,25.88,90,96,4.77,CI,1686145386
345,maintirano,-18.0667,44.0167,27.04,61,0,4.77,MG,1686145386
346,uzyn,49.8262,30.4149,21.63,53,100,1.98,UA,1686145387
347,san marcos de colon,13.4333,-86.8,17.85,78,100,1.08,HN,1686145387
348,kailua-kona,19.6406,-155.9956,23.98,80,100,2.68,US,1686145387
349,grajales,19.25,-97.7833,16.34,64,75,1.14,MX,1686145387
350,poso,-1.3959,120.7524,24.98,77,11,2.32,ID,1686145387
351,pacific grove,36.6177,-121.9166,14.25,90,100,2.06,US,1686145366
352,tazovsky,67.4667,78.7,11.75,71,97,3.02,RU,1686145388
353,kerikeri,-35.2268,173.9474,11.62,86,91,0.45,NZ,1686145388
354,barra de santo antonio,-9.4047,-35.5072,24.6,76,100,3.27,BR,1686145388
355,alofi,-19.0595,-169.9187,23.94,78,100,3.09,NU,1686145388
356,sinop,41.7711,34.8709,17.24,76,37,2.71,TR,1686145388
357,shimoda,34.6667,138.95,20.06,91,100,3.28,JP,1686145389
358,modimolle,-24.7,28.4,25.54,25,0,3.56,ZA,1686145389
359,silver city,32.7701,-108.2803,17.57,58,0,1.54,US,1686145389
360,makoua,0.0069,15.6333,31.35,54,99,1.69,CG,1686145389
361,tamanrasset,22.785,5.5228,36.95,9,0,2.06,DZ,1686145389
